catchment_id Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa) pet(mm/day)
01170100 2011 8 7 12 43200 0.200 266.125 0 30.650 18.008 2097.824 1.715
01170100 2011 8 8 12 43200 -0.000 302.000 0 26.150 19.462 1987.269 1.200
01170100 2011 8 9 12 43200 0.000 331.250 0 26.572 11.999 1229.868 1.613
01170100 2011 8 10 12 43200 0.000 219.500 0 24.782 12.626 1277.330 1.449
01181000 2011 8 1 12 43200 0.260 326.026 0 29.548 16.381 1816.401 1.731
01181000 2011 8 2 12 43200 0.032 316.745 0 29.535 16.302 1703.729 1.733
01181000 2011 8 3 12 43200 0.015 332.116 0 27.250 14.557 1547.353 1.610
01181000 2011 8 4 12 43200 0.388 230.731 0 28.334 17.621 1742.989 1.562
01181000 2011 8 5 12 43200 12.394 288.860 0 27.617 17.332 2282.921 1.511
01181000 2011 8 6 12 43200 0.736 301.715 0 31.818 18.218 2092.966 1.851
01181000 2011 8 7 12 43200 2.736 300.712 0 29.367 18.680 2213.505 1.602
01181000 2011 8 8 12 43200 0.028 305.912 0 25.922 19.906 2061.944 1.169
01181000 2011 8 9 12 43200 0.000 328.911 0 26.976 12.498 1301.073 1.666
01181000 2011 8 10 12 43200 0.000 198.117 0 24.041 13.282 1302.416 1.394
01187300 2011 8 1 12 43200 1.714 323.139 0 30.945 17.645 1881.892 1.817
01187300 2011 8 2 12 43200 0.000 317.618 0 30.746 17.590 1697.213 1.801
01187300 2011 8 3 12 43200 0.000 331.626 0 28.389 16.285 1560.510 1.649
01187300 2011 8 4 12 43200 0.599 245.688 0 31.538 18.954 1797.312 1.809
01187300 2011 8 5 12 43200 9.910 270.935 0 30.663 18.246 2267.706 1.762
01187300 2011 8 6 12 43200 0.899 287.556 0 32.595 19.273 2164.236 1.892
01187300 2011 8 7 12 43200 3.207 300.373 0 30.645 20.003 2297.173 1.666
01187300 2011 8 8 12 43200 0.598 314.593 0 28.740 20.859 2141.249 1.416
01187300 2011 8 9 12 43200 0.000 327.879 0 28.268 13.695 1312.668 1.746
01187300 2011 8 10 12 43200 0.000 193.266 0 24.917 14.422 1316.620 1.430
01333000 2011 8 1 12 43200 3.504 323.236 0 27.619 15.850 1917.901 1.548
01333000 2011 8 2 12 43200 2.404 318.727 0 28.128 15.333 1771.211 1.614
01333000 2011 8 3 12 43200 0.324 331.145 0 25.695 13.043 1557.320 1.506
01333000 2011 8 4 12 43200 0.438 242.034 0 26.490 16.541 1763.977 1.415
01333000 2011 8 5 12 43200 8.396 306.983 0 28.866 17.063 2236.925 1.601
01333000 2011 8 6 12 43200 0.729 298.756 0 29.813 17.715 2129.499 1.653
01333000 2011 8 7 12 43200 2.055 310.480 0 29.801 18.446 2186.038 1.616
01333000 2011 8 8 12 43200 0.362 283.426 0 23.363 18.528 2000.419 0.972
01333000 2011 8 9 12 43200 0.000 328.936 0 24.588 10.675 1315.088 1.503
01333000 2011 8 10 12 43200 0.000 209.666 0 24.493 13.002 1342.761 1.410
01350080 2011 8 1 12 43200 4.684 325.189 0 28.132 16.038 1971.130 1.610
01350080 2011 8 2 12 43200 0.003 313.572 0 28.004 15.346 1719.433 1.630
01350080 2011 8 3 12 43200 0.003 330.441 0 26.687 14.261 1615.406 1.564
01350080 2011 8 4 12 43200 0.524 290.405 0 27.730 16.944 1886.348 1.531
01350080 2011 8 5 12 43200 13.956 302.632 0 26.094 18.769 2313.380 1.265
01350080 2011 8 6 12 43200 0.732 297.487 0 31.004 18.228 2154.350 1.765
01350080 2011 8 7 12 43200 2.146 266.096 0 28.917 17.847 2182.931 1.593
01350080 2011 8 8 12 43200 0.287 232.189 0 21.584 17.559 1889.141 0.868
01350080 2011 8 9 12 43200 0.000 317.541 0 23.848 10.996 1285.719 1.460
01350080 2011 8 10 12 43200 0.003 216.536 0 22.805 11.359 1392.089 1.364
01350140 2011 8 1 12 43200 5.000 327.250 0 26.583 15.750 1996.853 1.484
01350140 2011 8 2 12 43200 0.000 325.625 0 27.450 14.795 1715.566 1.602
01350140 2011 8 3 12 43200 0.000 328.750 0 26.060 13.792 1607.055 1.527
01350140 2011 8 4 12 43200 1.400 291.750 0 27.250 16.258 1893.388 1.518
01350140 2011 8 5 12 43200 12.100 294.375 0 26.275 18.242 2288.609 1.315
01350140 2011 8 6 12 43200 1.200 298.875 0 29.697 17.877 2122.306 1.659
01350140 2011 8 7 12 43200 1.170 255.250 0 30.150 17.408 2105.019 1.722
01350140 2011 8 8 12 43200 0.400 215.375 0 20.650 16.950 1857.588 0.813
01350140 2011 8 9 12 43200 0.000 314.000 0 23.350 10.299 1307.325 1.441
01350140 2011 8 10 12 43200 0.000 215.500 0 22.982 11.126 1364.184 1.383
01365000 2011 8 1 12 43200 11.831 324.136 0 27.135 15.845 1957.151 1.571
01365000 2011 8 2 12 43200 -0.000 293.390 0 28.400 15.196 1698.051 1.713
01365000 2011 8 3 12 43200 0.084 313.058 0 28.172 14.287 1572.984 1.730
01365000 2011 8 4 12 43200 0.521 247.886 0 27.508 17.406 1870.396 1.524
01365000 2011 8 5 12 43200 9.905 300.627 0 26.584 17.419 2245.696 1.435
01365000 2011 8 6 12 43200 0.000 297.493 0 32.362 17.998 2088.671 1.945
01365000 2011 8 7 12 43200 3.790 315.319 0 29.079 18.208 2201.848 1.629
01365000 2011 8 8 12 43200 0.163 270.872 0 24.155 17.239 1933.022 1.204
01365000 2011 8 9 12 43200 0.000 324.150 0 25.531 10.296 1266.924 1.653
01365000 2011 8 10 12 43200 0.086 204.535 0 22.553 13.423 1351.014 1.283
01411300 2011 8 1 12 43200 2.097 294.538 0 31.949 22.094 2213.868 1.894
01411300 2011 8 2 12 43200 1.015 297.435 0 33.302 22.682 2156.858 2.010
01411300 2011 8 3 12 43200 0.403 263.501 0 31.304 22.701 1826.279 1.769
01411300 2011 8 4 12 43200 13.346 240.259 0 29.354 21.207 2641.610 1.652
01411300 2011 8 5 12 43200 0.119 294.165 0 30.086 21.897 2559.356 1.685
01411300 2011 8 6 12 43200 9.185 308.377 0 30.998 23.185 2825.137 1.689
01411300 2011 8 7 12 43200 3.039 301.353 0 31.855 24.051 2785.621 1.722
01411300 2011 8 8 12 43200 -0.000 311.650 0 35.275 24.159 2519.298 2.138
01411300 2011 8 9 12 43200 0.000 327.042 0 30.632 19.702 1690.808 1.908
01411300 2011 8 10 12 43200 0.000 226.036 0 26.462 20.152 1891.375 1.385
01413500 2011 8 1 12 43200 6.167 327.284 0 26.333 15.464 1921.332 1.497
01413500 2011 8 2 12 43200 0.187 303.011 0 27.194 14.605 1685.428 1.611
01413500 2011 8 3 12 43200 0.121 323.339 0 26.586 13.629 1558.645 1.600
01413500 2011 8 4 12 43200 1.730 250.176 0 26.811 16.116 1879.575 1.507
01413500 2011 8 5 12 43200 12.267 298.619 0 25.792 17.798 2260.419 1.315
01413500 2011 8 6 12 43200 0.042 303.234 0 30.691 17.508 2032.251 1.790
01413500 2011 8 7 12 43200 2.871 294.806 0 28.147 17.346 2109.689 1.566
01413500 2011 8 8 12 43200 0.418 230.424 0 21.710 16.291 1867.696 1.003
01413500 2011 8 9 12 43200 -0.000 321.774 0 23.894 9.947 1270.279 1.515
01413500 2011 8 10 12 43200 0.130 218.477 0 22.961 11.944 1316.076 1.368
01414500 2011 8 1 12 43200 14.658 326.447 0 25.994 15.388 1969.185 1.473
01414500 2011 8 2 12 43200 -0.000 313.107 0 27.558 14.633 1685.569 1.644
01414500 2011 8 3 12 43200 0.100 303.228 0 26.841 13.534 1568.082 1.628
01414500 2011 8 4 12 43200 0.600 236.326 0 27.115 16.509 1871.475 1.518
01414500 2011 8 5 12 43200 12.609 307.689 0 26.044 17.054 2224.473 1.388
01414500 2011 8 6 12 43200 0.000 303.534 0 31.147 17.384 2035.027 1.840
01414500 2011 8 7 12 43200 2.794 315.918 0 28.915 18.008 2151.857 1.606
01414500 2011 8 8 12 43200 0.265 267.593 0 22.861 16.654 1896.205 1.099
01414500 2011 8 9 12 43200 0.000 323.836 0 25.381 9.738 1275.970 1.639
01414500 2011 8 10 12 43200 0.107 210.063 0 22.447 12.837 1330.597 1.287
01415000 2011 8 1 12 43200 3.981 327.242 0 25.584 15.250 1973.532 1.442
01415000 2011 8 2 12 43200 1.083 325.951 0 26.267 14.199 1755.923 1.551
01415000 2011 8 3 12 43200 0.297 317.577 0 25.180 13.292 1622.776 1.498
01415000 2011 8 4 12 43200 3.752 270.708 0 26.165 15.668 1940.653 1.473
01415000 2011 8 5 12 43200 11.639 302.867 0 25.975 17.639 2246.292 1.344
01415000 2011 8 6 12 43200 0.394 301.674 0 28.530 17.275 2085.366 1.607
01415000 2011 8 7 12 43200 2.015 301.101 0 28.359 17.221 2131.894 1.594
01415000 2011 8 8 12 43200 0.891 203.636 0 19.989 15.664 1867.758 0.868
01415000 2011 8 9 12 43200 -0.000 320.057 0 23.382 9.501 1347.832 1.492
01415000 2011 8 10 12 43200 0.317 222.584 0 23.106 11.877 1353.303 1.385
01434025 2011 8 1 12 43200 12.500 325.875 0 26.583 15.650 1947.124 1.521
01434025 2011 8 2 12 43200 -0.000 294.875 0 27.950 14.895 1682.267 1.676
01434025 2011 8 3 12 43200 0.100 312.875 0 27.560 13.992 1558.532 1.679
01434025 2011 8 4 12 43200 0.600 238.125 0 27.050 17.058 1856.288 1.491
01434025 2011 8 5 12 43200 9.600 302.375 0 26.175 17.250 2220.677 1.396
01434025 2011 8 6 12 43200 0.000 301.000 0 31.997 17.777 2051.642 1.910
01434025 2011 8 7 12 43200 3.690 316.000 0 28.850 18.008 2173.926 1.608
01434025 2011 8 8 12 43200 0.200 263.750 0 23.450 16.850 1909.578 1.151
